monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
1975m4,United Kingdom,35.24102,34.888988,4,50.389568,51.028091,4,United Kingdom,200,GBR
1964m11,United Kingdom,46.230259,46.064499,4,36.561798,36.62001,4,United Kingdom,200,GBR
1976m3,United Kingdom,34.395691,34.341831,4,52.59808,52.692299,4,United Kingdom,200,GBR
1960m3,United Kingdom,46.616711,46.473061,1,34.539009,34.5536,1,United Kingdom,200,GBR
2020m4,United Kingdom,54.519562,55.83773,8,32.718472,32.008018,8,United Kingdom,200,GBR
1999m10,United Kingdom,44.83073,44.72654,4,42.592201,42.812901,4,United Kingdom,200,GBR
1971m1,United Kingdom,36.065208,36.006031,3,47.757629,47.925301,3,United Kingdom,200,GBR
1986m4,United Kingdom,29.37731,29.264709,5,60.503052,60.479752,5,United Kingdom,200,GBR
1977m11,United Kingdom,40.84367,40.921139,3,44.664879,44.582878,3,United Kingdom,200,GBR
1998m6,United Kingdom,49.152962,48.852741,4,37.363411,37.975559,4,United Kingdom,200,GBR
1993m1,United Kingdom,26.66715,27.203421,4,64.069946,63.202179,4,United Kingdom,200,GBR
1991m12,United Kingdom,37.104649,37.179821,4,50.201389,50.174568,4,United Kingdom,200,GBR
1950m3,United Kingdom,38.204472,38.242599,0,,,,United Kingdom,200,GBR
2014m9,United Kingdom,36.409409,36.454239,7,55.084888,55.10318,7,United Kingdom,200,GBR
1973m8,United Kingdom,31.397051,31.15708,4,55.883709,56.298401,4,United Kingdom,200,GBR
2007m2,United Kingdom,31.546841,32.043758,0,62.624409,62.323669,0,United Kingdom,200,GBR
